a	á
jölmiðlafulltrúi	fjölmiðlafulltrúi
júni	júní
Júpiter	Júpíter
Júpiters	Júpíters
kafbátarins	kafbátsins
kafbátinum	kafbátnum
Kalforníu	Kaliforníu
Kalingrad	Kalíníngrad
Kalinigrad	Kalíníngrad
Kalíforníu	Kaliforníu
Kamerúns	Kamerún
kandadíska	kanadíska
kandidat	kandídat
kannksi	kannski
kannsi	kannski
kannske	kannski
kanntinum	kantinum
kanski	kannski
Karabíahafinu	Karíbahafinu
karaókí	karókí
Kardahsian	Kardashian
Kardasian	Kardashian
Kareni	Karenu
karkater	karakter
karmelliseruðum	karamellíseruðum
Karolínuríki	Karólínuríki
Karíbaeyja	Karíbahafseyja
karíókí	karókí
Karólinska	Karólínska
Karótínóíðin	Karótenóíðin
Kashmír	Kasmír
Katalónu	Katalóníu
Katars	Katar
katastrofía	katastrófa
Katrin	Katrín
Katrinu	Katrínu
Katrí	Katrín
Kauphöllinna	Kauphöllina
Kavananaugh	Kavanaugh
kef	Kef.
Kef	Kef.
Keflvík	Keflavík
Kellog	Kellogg
Kellogs	Kelloggs
kellíngar	kerlingar
kemru	kemur
kemu	kemur
Kenedy	Kennedy
keppendanni	keppendanna
keppinauti	keppinaut
keppnarinnar	keppninnar
keppninar	keppninnar
keppnini	keppninni
keppninna	keppninnar
keppnis	keppnin
keppnnisdagurinn	keppnisdagurinn
kept	keppt
Khasoggi	Khashoggi
kilómetra	kílómetra
kirkjunar	kirkjunnar
Kjartanss	Kjartanss.
Kjarvalstöðum	Kjarvalsstöðum
kjellingar	kerlingar
Kjobenhavn	Kobenhavn
kjurr	kyrr
kjurrt	kyrrt
kjóli	kjól
kjöfar	kjölfar
Kjörd	Kjörd.
kkert	ekkert
kki	ekki
klarinett	klarínett
klarinettu	klarínettu
klassikin	klassíkin
klerknum	klerkinum
klst	klst.
klukan	klukkan
klukkann	klukkan
klukkkan	klukkan
klukkkustund	klukkustund
klukkstund	klukkustund
klukkstundir	klukkustundir
klukktíma	klukkutíma
klukkustundur	klukkustundir
klínik	klíník
Klíníkinnar	___
knattpsyrnu	knattspyrnu
knattpyrnu	knattspyrnu
Knattpyrnusambands	Knattspyrnusambands
knattspynu	knattspyrnu
koltvísirings	koltvísýrings
koltvísiringsmengun	koltvísýringsmengun
komar	koma
komas	komast
kominr	kominn
komiði	___
komsat	komast
komð	komið
konunar	konunnar
konungfjölskyldunni	konungsfjölskyldunni
konuninni	konunni
konunna	konuna
korselett	korsilett
kosingar	kosningar
kosnina	kosninga
kosningana	kosninganna
kosningarett	kosningarétt
Kosningaþáttaka	Kosningaþátttaka
kosningnum	kosningunum
kosninum	kosningum
Kosovó	Kósóvó
Kostkó	Costco
kostnaðarþáttöku	kostnaðarþátttöku
Kosts	Kostar
kosts	kostar
Kosóvó	Kósóvó
krafnir	krafðir
kraftir	krafti
krefist	krefjist
kreystið	kreistið
KRinga	KR-inga
KRingar	KR-ingar
Kringluni	Kringlunni
Kringumýrarbraut	Kringlumýrarbraut
krinum	kringum
Kristanstad	Kristianstad
Kristiandstad	Kristianstad
Kristindóttir	Kristinsdóttir
Kristinsd	Kristinsd.
Kristinu	Kristínu
Kristjan	Kristján
Kristíaníu	Kristjaníu
Kristóferi	Kristófer
krona	króna
Krona	Króna
krossin	krossinn
krufningsskýrslu	krufningsskýrslu
krunarfræðingur	hjúkrunarfræðingur
Krístin	Kristín
Krístínu	Kristínu
krónar	krónur
krónunar	krónunnar
Krótatíu	Króatíu
Krótíu	Króatíu
kröfugt	kröftugt
KSí	KSÍ
kukkan	klukkan
kumaður	ökumaður
kunngt	kunnugt
kvar	hvar
kvennana	kvennanna
kvenær	hvenær
kversu	hversu
kvk	kvk.
kvold	kvöld
kvort	hvort
kvunndagshetja	hvunndagshetja
kvínna	kvína
kvöd	kvöld
kvöldins	kvöldsins
kynbundis	kynbundins
kynferðsbrot	kynferðisbrot
kynjahlutföllinn	kynjahlutföllin
kynjana	kynjanna
Kyrgistan	Kirgistan
kílovolta	kílóvolta
kílómeter	kílómetri
kílómeters	kílómetra
kítast	kýtast
kólestrólið	kólesterólið
Kólombíu	Kólumbíu
kórarninum	Kóraninum
kóreumanna	Kóreumanna
kóreumenn	Kóreumenn
kóriander	kóríander
kóríanderið	kóríanderinn
Kósavó	Kósóvó
Kósovo	Kósóvó
Kósovóa	Kósóvóa
Kósóva	Kósóvóa
Kósóvar	Kósóvóar
kúarinnar	kýrinnar
kúltur	kúltúr
kúrdneskra	kúrdískra
Kúvaít	Kúveit
Kúveits	Kúveits
Kúvæt	Kúveit
LAkers	Lakers
landam	landam.
landbúnaðaráðherra	landbúnaðarráðherra
landgraedsluskyrsla	landgræðsluskýrsla
Landhelgisgæslunar	Landhelgisgæslunnar
landins	landsins
landinum	landinu
landisns	landsins
Landsbjörgu	Landsbjörg
landsleikjahlénu	landsleikjahléinu
landsliðsfyrirli	landsliðsfyrirliði
landsliðsinu	landsliðinu
Landspítalan	Landspítalann
Landspítalnum	Landspítalanum
Landsvirkjunnar	Landsvirkjunar
langreyð	langreyði
lasagnia	lasagna
lau	lau.
launahækkanna	launahækkana
launhækkanir	launahækkanir
launungamál	launungarmál
lavander	lavender
Laxnessi	Laxness
laxsins	laxins
legga	leggja
leggði	legði
legst	leggst
Leifstöð	Leifsstöð
leigenda	leigjenda
leihlutann	leikhlutann
leikatriðinum	leikatriðunum
leikhuta	leikhluta
leikinum	leiknum
leikjarins	leiksins
leikju	leikjum
leikluta	leikhluta
leikmen	leikmenn
leikmönum	leikmönnum
leikonan	leikkonan
leiksin	leiksins
leiktið	leiktíð
leiktíðinn	leiktíðin
lennti	lenti
leyddi	leiddi
leyta	leita
Libíu	Líbíu
Libýu	Líbíu
liggji	liggi
lika	líka
likt	líkt
liltu	litlu
limmósínu	limúsína
limmósínunni	limúsínunni
limósínu	limúsínu
litil	lítil
Livepool	Liverpool
Liveprool	Liverpool
liðan	líðan
liðinum	liðnum
liðisins	liðsins
liðisns	liðsins
ljosmynd	ljósmynd
ljáð	léð
ljáði	léði
llir	allir
lls	alls
llu	öllu
llum	öllum
lokakeppi	lokakeppni
lokst	loks
Lovre	Louvre
Lsh	LSH
lsh	LSH
ltr	ltr.
Lundúnar	Lundúna
Lundúnarbrú	Lundúnabrú
Lundúnarbúar	Lundúnabúar
Lundúnarfélaginu	Lundúnafélaginu
Lundúnarfélagið	Lundúnafélagið
Lundúnarháskóla	Lundúnaháskóla
Lundúnarliðin	Lundúnaliðin
Lundúnarliðinu	Lundúnaliðinu
Lundúnarlögreglan	Lundúnalögreglan
Lundúnarslag	Lundúnaslag
Lundúnarslaginn	Lundúnaslaginn
Lundúnarslagur	Lundúnaslagur
Lundúni	Lundúnir
lungan	lungann
lykilatrið	lykilatriði
láu	lágu
lækin	lækinn
læksins	lækjarins
léta	lét
líkamsrárás	líkamsárás
líkamsáras	líkamsárás
líkega	líklega
líkuðu	líkaði
líter	lítra
líterinn	lítrinn
lítin	lítinn
lögrega	lögregla
lögreglunar	lögreglunnar
lögreglunna	lögregluna
lögregu	lögreglu
lögregunni	lögreglunni
lögrelan	lögreglan
lögrelgan	lögreglan
Lögrelgan	Lögreglan
lögrelgu	lögreglu
lögrelgunnar	lögreglunnar
lögrelgunni	lögreglunni
Löreglan	Lögreglan
lúnkinn	lunkinn
Lúsifer	Lúsífer
Lúxembourg	Lúxemborg
Lúxemburg	Lúxemborg
lúxús	lúxus
Lúðvíki	Lúðvík
lýðveldsins	lýðveldisins
m.a	m.a.
M.Ed	M.Ed.
m.kr	m.kr.
ma.kr	ma.kr.
MAdrid	Madrid
Madridinga	Madrídarbúa
Madridingar	Madrídarbúar
Madrídingar	Madrídarbúar
magnaðari	magnaðri
Magnusar	Magnúsar
Magnúsosn	Magnússon
Magnússo	Magnússon
mai	maí
majones	majónes
Majones	Majónes
majonesi	majónesi
Maldív	Maldívur
Managment	Management
Mangussen	Magnussen
Mangúsar	Magnúsar
mannin	manninn
manninnum	manninum
mannins	mannsins
Maradonna	Maradona
Marakkó	Marokkó
Margaretar	Margrétar
margfallt	margfalt
Margét	Margrét
Markusar	Markúsar
Marokkóar	Marokkómenn
Marokkóbúar	Marokkómenn
mart	margt
maríhúana	maríjúana
Marókko	Marokkó
Marókkó	Marokkó
matsk	matsk.
Maybellene	Maybelline
mað	að
meginn	megin
meginstefum	meginstefjum
megináskrifarleiða	megináskriftarleiða
meiga	mega
meigi	megi
meirihlutan	meirihlutann
meirilhuta	meirihlutann
Meistaradeildinnar	Meistaradeildarinnar
meistaram	meistaram.
Meistaramánuðar	Meistaramánaðar
meistaranir	meistararnir
meistaratitlinn	meistaratititilinn
Melabr	Melabr.
melantónín	melatónín
Meninga	Meniga
menntamálaráherra	menntamálaráðherra
menntunnar	menntunar
meria	meira
merksins	merkisins
Merkúríusar	Merkúrs
metar	metrar
meter	metri
meters	metra
Mexikó	Mexíkó
meða	meðan
meðatali	meðaltali
meðf	meðf.
meðferðarrúrræði	meðferðarúrræði
meðfylgandi	meðfylgjandi
meðl	meðal
meðtaldri	meðtalinni
meðvitaðara	meðvitaðra
meðvitaðari	meðvitaðri
mfl	mfl.
mgr	mgr.
Midtylland	Midtjylland
miki	mikið
mikila	mikla
mikili	mikilli
mikilir	miklir
mikilll	mikill
mikilllar	mikillar
mikillli	mikilli
mikillri	mikilli
mikilum	miklum
mikin	mikinn
miklli	mikilli
miklvægasta	mikilvægasta
miklvægt	mikilvægt
mikð	mikið
Milanó	Mílanó
milil	milli
millarða	milljarða
milligröm	milligrömm
millimeter	millimetri
millj	millj.
milljaðar	milljarðar
milljaðrar	milljarðar
milljaður	milljarður
milljonir	milljónir
milljóni	milljónir
milljónr	milljónir
millli	milli
millljarða	milljarða
millljarðar	milljarðar
millljónir	milljónir
millljónum	milljónum
millriðli	milliriðli
millígrömm	milligrömm
millímetra	millimetra
millímetrar	millimetrar
millímetrum	millimetrum
minimalistanum	mínimalistanum
minkað	minnkað
minns	minnst
Minouge	Minogue
minsta	minnsta
minu	mínu
minum	mínum
minútu	mínútu
minútur	mínútur
miskilningur	misskilningur
miskun	miskunn
miskunarlaust	miskunnarlaust
mismunadi	mismunandi
mismundi	mismunandi
misnoktun	misnotkun
misskilingur	misskilningur
Mistöð	Miðstöð
Miðafríkulýðveldinu	Mið-Afríkulýðveldinu
miðan	miðjan
miðjumannin	miðjumanninn
Mjanmars	Mjanmar
mjóg	mjög
Mjólkarbikarsins	Mjólkurbikarsins
mjör	smjör
mkið	mikið
mkr	m.kr.
mlb.is	mbl.is
Mmorgunblaðinu	Morgunblaðinu
Moldovía	Moldóva
Moldóvía	Moldóva
Moldóvíu	Moldóvu
Monakó	Mónakó
Montenegró	Svartfjallaland
Morgublaðinu	Morgunblaðinu
morgum	mörgum
Morgunblaðinnu	Morgunblaðinu
Morgunblaðinun	Morgunblaðinu
morgunin	morguninn
Morrisey	Morrissey
morteli	mortéli
morugn	morgun
Mosvka	Moskvu
Mosvku	Moskvu
mot	mót
moti	móti
Mourino	Mourinho
Mousaieff	Moussaieff
Moussaeiff	Moussaieff
mrd	mrd.
msk	msk.
mtt	m.t.t.
myndinn	myndinni
myndiru	myndirðu
myrkrana	myrkranna
málaflokkinum	málaflokknum
málfutningi	málflutningi
málins	málsins
málsl	málsl.
málínu	málinu
mán	mán.
Mán	Mán.
mánaðarsins	mánaðarins
mánuða	mánaða
mánuðar	mánaðar
mánuðnum	mánuðinum
mánuðu	mánuði
mægðurnar	mæðgurnar
Mæjorka	Majorka
mæjónes	majónes
mæjónesi	majónesi
mældis	mældist
mætst	mæst
mættast	mætast
míkrafóninn	míkrófóninn
míkrafóninum	míkrófóninum
Mílano	Mílanó
mínutu	mínútu
mínutum	mínútum
mínutur	mínútur
mínút	mínútu
mínútú	mínútu
mínútúr	mínútur
mðe	með
módir	móðir
mógða	móðga
mótins	mótsins
mótttöku	móttöku
mótttökur	móttökur
mótu	móti
mótórhjól	mótorhjól
mótórhjóli	mótorhjóli
móðirinn	móðirin
möguleikan	möguleikann
möguðustu	mögnuðustu
mörgun	mörgu
Múhammeð	Múhameð
Múltikúlti	Múltíkúltí
músik	músík
músikdögum	músíkdögu
Músikdögum	Músíkdögum
múslima	múslíma
múslimann	múslímann
múslimans	múslímans
múslimanum	múslímanum
múslimar	múslímar
múslimi	múslími
músliminn	múslíminn
múslimum	múslímum
n.k	nk.
n.t.t.	n.tt.
naktri	nakinni
Nathanealsson	Nathanaelsson
naugðun	nauðgun
neit	neitt
nemendi	nemandi
Nesk	Nesk.
neðanjarðarlestastöð	neðanjarðarlestarstöð
Nintento	Nintendo
Nitendo	Nintendo
niðurníslu	niðurníðslu
niðustaða	niðurstaða
niðustöðu	niðurstöðu
Nja	Njah
nnar	annar
nnum	mönnum
Nokkir	Nokkrir
nokkkuð	nokkuð
nokkri	nokkrir
nokkrun	nokkrum
nokkura	nokkurra
noktun	notkun
norksa	norska
norðann	norðan
Norðu	Norður
norðuhluta	norðurhluta
Norðurkóreumanna	Norður-Kóreumanna
Norðurkóreumenn	Norður-Kóreumenn
notk	notkun
Notthingham	Nottingham
nottla	náttúrulega
nu	nú
numer	númer
numu	námu
nánst	nánast
náttla	náttúrulega
nátturunni	náttúrunni
náttúrinni	náttúrunni
náttúrvernd	náttúruvernd
Náttúrvernd	Náttúruvernd
næringaþerapisti	næringarþerapisti
næststíðustu	næstsíðustu
næturklúbbinum	næturklúbbnum
næturna	næturnar
nér	né
Nígers	Níger
Nígeru	Nígeríu
níturbasa	niturbasa
nítíu	níutíu
nóv	nóv.
nóvembermánuðar	nóvembermánaðar
nún	núna
nútvitund	núvitund
nýa	nýja
nýan	nýjan
nýar	nýjar
nýasta	nýjasta
nýasti	nýjasti
nýji	nýi
nýjir	nýir
nýu	nýju
nýum	nýjum
o.fl	o.fl.
o.m.fl	o.m.fl.
o.s.	o.s.frv.
o.s.frv	o.s.frv.
o.sfrv.	o.s.frv.
o.sv.frv.	o.s.frv.
o.þ.h	o.þ.h.
oddiviti	oddviti
ofl	o.fl.
ofnin	ofninn
ofta	oftar
ogt	og
ohingya	Róhingja
Okei	Ókei
okei	ókei
okkkar	okkar
okkkur	okkur
okkru	nokkru
okku	okkur
okt	okt.
oktober	október
okóber	október
Olafsdottir	Ólafsdóttir
Olafson	Ólafsson
Olafur	Ólafur
olisdeildin	Olísdeildin
Olympíuleikunum	Ólympíuleikunum
onn	tonn
orkudrykksins	orkudrykkjarins
Orlandi	Orlando
Orlondo	Orlando
ormaður	formaður
orseti	forseti
orstöðumaður	forstöðumaður
oru	voru
osfr	o.s.frv.
osfrv	o.s.frv.
oslaegt	óslægt
Oslóarháskóla	Óslóarháskóla
Oslóartrénu	Óslóartrénu
Oslóartréð	Óslóartréð
Oslóborgar	Óslóarborgar
Ossur	Össur
Ottóson	Ottósson
oxýkódón	oxýkódon
oðið	orðið
panamíska	panamska
panamísku	panömsku
panik	panikk
Panik	Panikk
papríkuduft	paprikuduft
Paradis	Paradís
Parkinsonsjúkdóminn	Parkinsonssjúkdóminn
Parkison	Parkinsons
Patroits	Patriots
Pekíng	Peking
pelsi	pels
pennan	pennann
Pennsilvaníu	Pennsylvaníu
pensillín	pensilín
Pensilvaníu	Pennsylvaníu
Pensylvaníu	Pennsylvaníu
pepperóni	pepperóní
Pepsmörkin	Pepsimörkin
Pepsídeildarinnar	Pepsideildarinnar
Pepsídeildina	Pepsideildina
Pepsímörkununum	Pepsimörkunum
persónupplýsingar	persónuupplýsingar
Petur	Pétur
Peugot	Peugeot
Pheobe	Phoebe
Pheonix	Phoenix
Philadelpha	Philadelphia
Pintrest	Pinterest
Pirata	Pírata
Pistorious	Pistorius
PjongJang	Pjongjang
Platón	Plató
pligt	plikt
plötunar	plötunnar
populisma	popúlisma
populismi	popúlismi
populisti	popúlisti
Portúgalir	Portúgalar
Praag	Prag
pragt	prakt
praxis	praxís
Proppe	Proppé
próent	prósent
prógrami	prógrammi
prógramið	prógrammið
prósen	prósent
prósnet	prósent
Puertó	Púertó
pólítik	pólitík
pólítísk	pólitísk
pólítískar	pólitískar
pólítískir	pólitískir
pólítískri	pólitískri
pólítískt	pólitískt
Púerto	Púertó
Púrtó	Púertó
Rabbabara	Rabbarbara
radherra	ráðherra
rafmangs	rafmagns
Ragheiður	Ragnheiður
ram	fram
ramkvæmdastjóri	framkvæmdastjóri
rammpólítísk	rammpólitísk
rannska	rannsaka
rannsóknasetur	rannsóknarsetur
rasskelltir	rassskelltir
rauninn	raunin
raunni	rauninni
raunninni	rauninni
raunveruleikan	raunveruleikann
rað	ráð
Reglurgerðir	Reglugerðir
reikningin	reikninginn
reindar	reyndar
reitarbolta	reitabolta
reksti	rekstri
reksturins	rekstrarins
Republikana	Repúblikana
Repúblikanir	Repúblikanar
Repúblíkana	Repúblikana
repúblíkana	repúblikana
Repúblíkanaflokknum	Repúblikanaflokknum
Repúblíkanaflokksins	Repúblikanaflokksins
Repúblíkanar	Repúblikanar
repúblíkanar	repúblikanar
Repúblíkönum	Repúblikönum
resktur	rekstur
Reyjavík	Reykjavík
Reyjavíkur	Reykjavíkur
Reykajvík	Reykjavík
Reykajvíkur	Reykjavíkur
Reykavík	Reykjavík
Reykavíkur	Reykjaíkur
Reykavíkurborg	Reykjavíkurborg
Reykjavi	Reykjavík
Reykjavíkjurkjördæmi	Reykjavíkurkjördæmi
Reykjavíku	Reykjavíkur
Reykjavíkuborgar	Reykjavíkurborgar
Reykjvík	Reykjavík
Reykjvíkur	Reykjavíkur
Reykv	Reykv.
reysa	reisa
rfam	áfram
Riddu	Ríddu
rifildi	rifrildi
rigninu	rigningu
ringdi	rigndi
risaskjám	risaskjáum
ristjóra	ritstjóra
ristjóri	ritstjóri
ristjórn	ritstjórn
ritsjóri	ritstjóri
rivíerunni	Rivíerunni
riðili	riðli
Rió	Ríó
rohingja	róhingja
Rohingja	Róhingja
Rohingjafólkið	róhingjafólkið
rohingjafólkið	róhingjafólkið
rohingjana	róhingjana
rohingjanna	róhingjanna
rohingjarnir	róhingjarnir
Rohingjum	Róhingjum
rohingjum	róhingjum
rohingjunum	róhingjunum
rskurðarnefnd	úrskurðarnefnd
Rvk	Rvk.
rátt	átt
ráðgjafastöð	ráðgjafarstöð
ráðherran	ráðherrann
Ráðherran	Ráðherrann
ráðherrra	ráðherra
ráðst	ráðist
ráðu	ráðum
réttt	rétt
ríkisfyrirækja	ríkisfyrirtækja
ríkisns	ríkisins
ríkissins	ríkisins
ríkissjónvarpssins	ríkissjónvarpsins
ríkissjórn	ríkisstjórn
ríkisskattsjóra	ríkisskattstjóra
ríkissstjórn	ríkisstjórn
ríkisstj	ríkisstj.
ríkisstjórnarinar	ríkisstjórnarinnar
ríkisstjórnarninnar	ríkisstjórnarinnar
ríkisstjórninn	ríkisstjórnin
ríkisstjóðs	ríkissjóðs
ríkisstórn	ríkisstjórn
ríkistjórn	ríkisstjórn
ríkistjórnar	ríkisstjórnar
ríkistjórnarinnar	ríkisstjórnarinnar
ríkistjórnin	ríkisstjórnin
ríkistjórnina	ríkisstjórnina
ríkistjórninni	ríkisstjórninni
Ríko	Ríkó
ríksins	ríkisins
ríksisins	ríkisins
ríksstjórn	ríkisstjórn
Río	Ríó
Ríveríunni	Rivíerunni
ríveríunni	Rivíerunni
róhingja	róhingja
róhingjum	róhingjum
Rómarveldis	Rómaveldis
Rúrík	Rúrik
Rússeska	Rússneska
rússibana	rússíbana
rússibanareið	rússíbanareið
rússibani	rússíbani
rútinni	rútunni
rúv	RÚV
rýmar	rúmar
s.k.	sk.
s.l	sl.
s.l.	sl.
s.s	s.s.
S.þ.	S.Þ.
safnins	safnsins
sagð	sagði
sagðu	sagði
sagðí	sagði
salek	SALEK
Salomón	Salómon
samastendur	samanstendur
Sameiginl	Sameiginl.
sameingingarhugmyndir	sameiningarhugmyndir
sameiningaviræður	sameiningarviðræður
Sameinðu	Sameinuðu
samfélagins	samfélagsins
samfó	Samfó
Samgöngstofa	Samgöngustofa
samhyggð	samhygð
saming	samning
samingi	samningi
samingnum	samningnum
samingum	samningum
Samingur	Samningur
Samingurinn	Samningurinn
samingurinn	samningurinn
Samkeppniseftirlitins	Samkeppniseftirlitsins
samkomlagi	samkomulagi
samkynhneiðra	samkynhneigðra
samn	saman
samningins	samningsins
samninginum	samningnum
samstarfssaming	samstarfssamning
samstað	samstaða
Samsun	Samsung
samtakana	samtakanna
Samtakana	Samtakanna
samtakann	samtakanna
samtarf	samstarf
samtarfi	samstarfi
samtöðu	samstöðu
Samvkæmt	Samkvæmt
samvkæmt	samkvæmt
samvæmt	samkvæmt
Samvæmt	Samkvæmt
samþykja	samþykkja
sanngirnis	sanngirni
sanngjart	sanngjarnt
sannleikan	sannleikann
Sarpnum	Sarpinum
Sauda	Sádi-Araba
saðgi	sagði
sbr	sbr.
seglinn	seglin
segri	segir
seigr	segir
seir	segir
sekann	sekan
Selfos	Selfoss
selsíus	Celsíus
Seltjarnanesi	Seltjarnarnesi
Seltjarnesi	Seltjarnarnesi
Seltyrningar	Seltirningar
sendirherra	sendiherra
sentimeter	sentimetri
senunna	senuna
sepember	september
sept	sept.
septemer	september
seríos	seríós
sexý	sexí
sgaði	sagði
sgeir	segir
sgir	segir
Shanghaí	Sjanghaí
Shanghæ	Sjanghaí
sharía	sjaría
sherpar	sjerpar
sherpinn	sjerpinn
shía	sjía
Shía	Sjía
sifjaspells	sifjaspella
Sigmunds	Sigmundar
Signy	Signý
Sigriður	Sigríður
sigru	sigur
Sigthorsson	Sigþórsson
Sigurdson	Sigurðsson
Sigurjon	Sigurjón
Sigurjonsson	Sigurjónsson
sigurreyfur	sigurreifur
Sigurðarsdóttir	Sigurðardóttir
Sigurðarsson	Sigurðarson
Siguðrsson	Sigurðsson
Siguður	Sigurður
silgdi	sigldi
silgdu	sigldu
silgt	siglt
silvur	silfur
Simbave	Simbabve
Sinaí	Sínaí
Sinfoníuhljómsveitar	Sinfóníuhljómsveitar
Sirkús	Sirkus
sirkús	sirkus
Sirrýar	Sirrýjar
Siríus	Síríus
sitg	stig
sitgahæstur	stigahæstur
sitið	setið
siðasta	síðasta
siðu	síðu
siðustu	síðustu
sja	sjá
sjaldgjæf	sjaldgæf
sjaldgjæft	sjaldgæft
sjer	sér
Sjstfl	Sjstfl.
Sjálfstæðisflokkins	Sjálfstæðisflokksins
Sjálfstæðisflokkinum	Sjálfstæðisflokknum
Sjálfstæðisflokkkurinn	Sjálfstæðisflokkurinn
Sjálfstæðisflokksin	Sjálfstæðisflokksins
Sjálfstæðisflokkurin	Sjálfstæðisflokkurinn
Sjálfstæðislfokksins	Sjálfstæðisflokksins
Sjálfstæðsflokksins	Sjálfstæðisflokksins
sjálfsöðgu	sjálfsögðu
Sjálstæðisflokkurinn	Sjálfstæðisflokkurinn
sjéns	séns
sjítamúslíma	sjítamúslima
sjónvarpsskjám	sjónvarpsskjáum
sjónvarvotta	sjónarvotta
Sjónvarvottar	Sjónarvottar
sjónvarvottum	sjónarvottum
Sjónvarvottur	Sjónarvottur
sjónvarvottur	sjónarvottur
sjörnu	stjörnu
Sjúkrah	Sjúkrah.
sjúkralidi	sjúkraliði
skafað	skafið
skallotlaukar	skalottlaukar
skalottulaukar	skalottlaukar
skalottulaukur	skalottlaukur
skammst	skammast
skandínavísk	skandinavísk
skandínavíska	skandinavíska
skandínavískt	skandinavískt
skandínavískum	skandinavískum
Skandínavíu	Skandinavíu
skarlottlauk	skalottlauk
skattekjur	skatttekjur
skaðan	skaðann
skemmtigarðarins	skemmtigarðsins
skerðin	skerðing
skilaðboð	skilaboð
skilboð	skilaboð
skilboðum	skilaboðum
skilingur	skilningur
skilorðabundið	skilorðsbundið
skilt	skylt
skiptana	skiptanna
skiptst	skipst
skipulagingu	skipulagningu
Skipuleggendur	Skipuleggjendur
skipuleggendur	skipuleggjendur
skjaskot	skjáskot
skjáfti	skjálfti
skjáksot	skjáskot
skjám	skjáum
skonar	konar
skorðai	skoraði
skotáras	skotárás
skoðanakannanar	skoðanakönnunar
skoðanna	skoðana
skoðunnar	skoðunar
skoðunu	skoðunum
skrar	skrár
skriffinsku	skriffinnsku
skrýmsli	skrímsli
Skulason	Skúlason
skv	skv.
skytttur	skyttur
Skítseyðin	Skítseiðin
Skólahreystis	Skólahreysti
skólan	skólann
skýrlsu	skýrslu
skýrskotun	skírskotun
skýslu	skýrslu
slandi	Íslandi
slaðaðist	slasaðist
slenska	íslenska
slensku	íslensku
slenskum	íslenskum
slikt	slíkt
slikum	slíkum
slóu	slógu
slökkvliðinu	slökkviliðinu
slökkvliðið	slökkviliðið
sme	sem
smeikur	smeykur
Smáaugl	Smáaugl.
smör	smjör
snuðrulaust	snurðulaust
snýkjudýr	sníkjudýr
soleiðis	svoleiðis
solleis	svoleiðis
solleiðis	svoleiðis
sollis	svoleiðis
soyasósa	sojasósa
soyasósu	sojasósu
spagetti	spagettí
spenanndi	spennandi
Spigel	Spiegel
spilarnum	spilaranum
Spkef	SpKef
sprellifandi	sprelllifandi
sprenginu	sprengingu
spurja	spyrja
stafinu	starfinu
Standford	Stanford
Starfsfhópnum	Starfshópnum
Starfsfhópur	Starfshópur
starfsháttu	starfshætti
starfsmadur	starfsmaður
starfsmennn	starfsmenn
starfssemi	starfsemi
starsfmanna	starfsmanna
stax	strax
Steet	Street
Stefaniu	Stefaníu
Steinarrs	Steinars
Steinarrsdóttir	Steinarsdóttir
Steingrimsfjarðarheiði	Steingrímsfjarðarheiði
stendu	stendur
steng	streng
steypireyð	steypireyði
sti	stig
stija	sitja
stil	til
stjarnana	stjarnanna
stjón	stjórn
stjónvöld	stjórnvöld
stjóriðju	stóriðju
stjórmálaflokka	stjórnmálaflokka
stjórmálum	stjórnmálum
stjórnarmyndundarviðræður	stjórnarmyndunarviðræður
stjórnarskárinnar	stjórnarskráarinnar
stjórninn	stjórnin
stjórvöld	stjórnvöld
stjörnuanísar	stjörnuaníss
Stjörnunar	Stjörnunnar
stjörnunar	stjörnunnar
Stjörnunna	Stjörnuna
stjörnvöld	stjórnvöld
Stjörunni	Stjörnunni
stk	stk.
stml	stml.
stofandi	stofnandi
stofnunnarinnar	stofnunarinnar
stolltur	stoltur
stoðs	stoðs.
stressaðari	stressaðri
streytu	streitu
stráginn	strákinn
strúktur	strúktúr
stuðningmenn	stuðningsmenn
Stuðningmenn	Stuðningsmenn
stuðningmönnum	stuðningsmönnum
stykleikaflokkur	styrkleikaflokkur
styða	styðja
stærs	stærst
stætó	strætó
stórann	stóran
stórasta	stærsta
stórn	stjórn
Störnum	Stjörnum
stöðugari	stöðugri
Stúdío	Stúdíó
stúlknana	stúlknanna
stúlkunar	stúlkunnar
sumafrí	sumarfrí
sunnann	sunnan
sunndaginn	sunnudaginn
sunni	sinni
sutt	stutt
suttu	stuttu
suttum	stuttum
Suðurameríkukeppninni	Suður-Ameríkukeppninni
Suðurk	Suðurk.
svarði	svaraði
sveitarfélagins	sveitarfélagsins
sveitrafélag	sveitarfélag
svekkandi	svekkjandi
svf	svf.
svingsinn	sfinxinn
Sviþjóð	Svíþjóð
svokalla	svokallað
svoldið	svolítið
svon	svona
svooo	svo
svæðinum	svæðinu
svæðsins	svæðisins
Svínn	Svíinn
Svíðþjóð	Svíþjóð
Svíðþjóðar	Svíþjóðar
svö	svo
svökölluðu	svokölluðu
svöru	svörum
syntha	synþa
sæu	sæju
sæum	sæjum
sæust	sæjust
séfræðingur	sérfræðingur
séhæfðra	sérhæfðra
sérrý	sérrí
sérsmíður	sérsmíðaður
sérstak	sérstakt
sérstakega	sérstaklega
sérstækar	sértækar
síaðsta	síðasta
sídegis	síðdegis
sífelt	sífellt
síja	sjía
Síja	Sjía
sílikon	silíkon
Sílikon	Silíkon
sílikoni	silíkoni
Sílikons	Silíkons
